0 0.535896 0.819508 4.1779 
1 0.398584 1.25052 5.40807 
2 0.398584 1.25052 5.40807 
3 2.05487 -1.62266 3.41802 
4 2.05487 -1.62266 3.41802 
5 -0.557271 -0.0947369 1.81696 
6 -0.597913 1.44155 1.69179 
7 -2.05055 -0.122843 1.52257 
8 -1.3497 0.359967 -0.97371 
9 1.2415 1.88428 -0.962563 
10 1.2415 1.88428 -0.962563 
11 2.31178 -0.526437 -3.2368 
12 2.31178 -0.526437 -3.2368 
13 2.31178 -0.526437 -3.2368 
14 4.82491 2.11282 -1.35709 
15 4.82491 2.11282 -1.35709 
16 4.82491 2.11282 -1.35709 
17 5.05381 0.805971 -1.46791 
18 3.34212 -2.08687 -3.78238 
19 1.89629 -4.24401 -1.36881 
20 1.89629 -4.24401 -1.36881 
21 1.89629 -4.24401 -1.36881 
22 1.29576 -5.28287 1.54995 
23 1.29576 -5.28287 1.54995 
24 1.75189 -3.16064 2.75995 
25 0.431562 -0.541416 5.47063 
26 2.7231 -1.7989 7.16218 
27 4.70446 0.368007 8.59384 
28 3.26706 2.50822 8.88065 
29 3.26706 2.50822 8.88065 
30 2.31688 4.06848 6.11714 
31 2.31688 4.06848 6.11714 
32 -0.343709 1.53539 3.6386 
33 1.41464 -0.811261 2.7166 
34 1.06388 1.80854 5.21349 
35 1.06388 1.80854 5.21349 
36 3.00956 2.68533 3.33809 
37 0.370076 0.476353 0.415846 
38 -1.72085 3.34196 2.35964 
39 -1.72085 3.34196 2.35964 
40 -1.1304 1.83265 3.90949 
41 -1.15555 4.15758 3.06349 
42 0.606575 2.84868 4.91778 
43 0.606575 2.84868 4.91778 
44 0.606575 2.84868 4.91778 
45 0.606575 2.84868 4.91778 
46 0.606575 2.84868 4.91778 
47 0.606575 2.84868 4.91778 
48 0.606575 2.84868 4.91778 
49 1.31543 0.746886 5.15 
50 1.55636 0.000212056 6.12734 
51 -0.346858 -2.94835 5.6832 
52 -0.346858 -2.94835 5.6832 
53 -0.271003 -3.13209 5.80505 
54 -2.95362 -2.71974 8.2276 
55 -4.19829 -2.15454 6.58753 
56 -4.19829 -2.15454 6.58753 
57 -6.42322 -1.17915 5.66024 
58 -6.42322 -1.17915 5.66024 
59 -4.91457 -4.16281 5.00253 
60 -4.91457 -4.16281 5.00253 
61 -4.91457 -4.16281 5.00253 
62 -4.27471 -2.38671 3.73519 
63 -5.37408 -2.431 5.1585 
64 -5.37408 -2.431 5.1585 
65 -4.99489 -4.28426 6.16197 
66 -4.99489 -4.28426 6.16197 
67 -5.38633 -3.31288 6.2051 
68 -5.38633 -3.31288 6.2051 
